R2-USB,147.32,48.26,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,147.32,49.53,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,111.76,46.99,0.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,149.86,6.35,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,95.25,59.69,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,71.12,8.89,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,73.66,13.97,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,29.21,54.61,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,39.37,27.94,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,36.83,27.94,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,34.29,27.94,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,73.66,25.40,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.00,108.94,180.00,BUTTON_CUSYOMV1PACKAGE,MYBUTTON
R_BOOT,19.05,107.84,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,96.52,50.80,270.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,59.69,107.13,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,74.93,25.40,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,44.45,107.94,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,148.60,11.43,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,68.58,8.89,180.00,,SJ
TP1,12.70,76.20,0.00,TPTP20R,TP20R
TP10,43.18,58.42,0.00,TPTP20R,TP20R
TP11,10.16,76.20,0.00,TPTP20R,TP20R
TP12,21.59,48.26,0.00,TPTP20R,TP20R
TP13,13.97,48.26,0.00,TPTP20R,TP20R
TP14,19.05,72.39,0.00,TPTP20R,TP20R
TP15,21.59,72.39,0.00,TPTP20R,TP20R
TP16,106.68,38.10,0.00,TPTP20R,TP20R
TP17,16.51,48.26,0.00,TPTP20R,TP20R
TP2,15.24,76.20,0.00,TPTP20R,TP20R
TP3,123.19,63.50,0.00,TPTP20R,TP20R
TP4,86.36,104.14,0.00,TPTP20R,TP20R
TP5,86.36,107.84,0.00,TPTP20R,TP20R
TP6,10.16,107.95,0.00,TPTP20R,TP20R
TP7,73.66,36.83,0.00,TPTP20R,TP20R
TP8,6.35,107.95,0.00,TPTP20R,TP20R
TP9,2.09,107.95,0.00,TPTP20R,TP20R
U1,34.29,60.96,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,15.70,60.96,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,86.36,55.88,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,135.89,46.99,0.00,MAX17048G+T10,SON50P200X200X80-9N
